"ENTREZID","SYMBOL","GENENAME"
"442900","MIR326","microRNA 326"
"442912","MIR367","microRNA 367"
"4482","MSRA","methionine sulfoxide reductase A"
"4548","MTR","5-methyltetrahydrofolate-homocysteine methyltransferase"
"4597","MVD","mevalonate diphosphate decarboxylase"
"4600","MX2","MX dynamin like GTPase 2"
"4683","NBN","nibrin"
"4698","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5"
"473","RERE","arginine-glutamic acid dipeptide repeats"
"478","ATP1A3","ATPase Na+/K+ transporting subunit alpha 3"
"48","ACO1","aconitase 1"
"4810","NHS","NHS actin remodeling regulator"
"4815","NINJ2","ninjurin 2"
"482","ATP1B2","ATPase Na+/K+ transporting subunit beta 2"
"4915","NTRK2","neurotrophic receptor tyrosine kinase 2"
"493","ATP2B4","ATPase plasma membrane Ca2+ transporting 4"
"498","ATP5F1A","ATP synthase F1 subunit alpha"
"4983","OPHN1","oligophrenin 1"
"4999","ORC2","origin recognition complex subunit 2"
"5028","P2RY1","purinergic receptor P2Y1"
"50487","PLA2G3","phospholipase A2 group III"
"50854","SNHG32","small nucleolar RNA host gene 32"
"5097","PCDH1","protocadherin 1"
"51004","COQ6","coenzyme Q6, monooxygenase"
"51012","PRELID3B","PRELI domain containing 3B"
"51059","FAM135B","family with sequence similarity 135 member B"
"51121","RPL26L1","ribosomal protein L26 like 1"
"51128","SAR1B","secretion associated Ras related GTPase 1B"
"5125","PCSK5","proprotein convertase subtilisin/kexin type 5"
"51263","MRPL30","mitochondrial ribosomal protein L30"
"51272","BET1L","Bet1 golgi vesicular membrane trafficking protein like"
"51290","ERGIC2","ERGIC and golgi 2"
"5130","PCYT1A","phosphate cytidylyltransferase 1A, choline"
"51314","NME8","NME/NM23 family member 8"
"51368","TEX264","testis expressed 264, ER-phagy receptor"
"5139","PDE3A","phosphodiesterase 3A"
"51454","GULP1","GULP PTB domain containing engulfment adaptor 1"
"51466","EVL","Enah/Vasp-like"
"5147","PDE6D","phosphodiesterase 6D"
"51490","SPOUT1","SPOUT domain containing methyltransferase 1"
"51555","PEX5L","peroxisomal biogenesis factor 5 like"
"51574","LARP7","La ribonucleoprotein 7, transcriptional regulator"
"51582","AZIN1","antizyme inhibitor 1"
"51606","ATP6V1H","ATPase H+ transporting V1 subunit H"
"51631","LUC7L2","LUC7 like 2, pre-mRNA splicing factor"
"51663","ZFR","zinc finger RNA binding protein"
"51776","MAP3K20","mitogen-activated protein kinase kinase kinase 20"
"5184","PEPD","peptidase D"
"5209","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
"521","ATP5ME","ATP synthase membrane subunit e"
"5243","ABCB1","ATP binding cassette subfamily B member 1"
"5261","PHKG2","phosphorylase kinase catalytic subunit gamma 2"
"5281","PIGF","phosphatidylinositol glycan anchor biosynthesis class F"
"5319","PLA2G1B","phospholipase A2 group IB"
"5329","PLAUR","plasminogen activator, urokinase receptor"
"53353","LRP1B","LDL receptor related protein 1B"
"5339","PLEC","plectin"
"53630","BCO1","beta-carotene oxygenase 1"
"54039","PCBP3","poly(rC) binding protein 3"
"54058","C21orf58","chromosome 21 open reading frame 58"
"54207","KCNK10","potassium two pore domain channel subfamily K member 10"
"54454","ATAD2B","ATPase family AAA domain containing 2B"
"54475","NLE1","notchless homolog 1"
"54509","RHOF","ras homolog family member F, filopodia associated"
"54517","PUS7","pseudouridine synthase 7"
"54529","ASNSD1","asparagine synthetase domain containing 1"
"54538","ROBO4","roundabout guidance receptor 4"
"54556","ING3","inhibitor of growth family member 3"
"54620","FBXL19","F-box and leucine rich repeat protein 19"
"54682","MANSC1","MANSC domain containing 1"
"54820","NDE1","nudE neurodevelopment protein 1"
"54851","ANKRD49","ankyrin repeat domain 49"
"54852","PAQR5","progestin and adipoQ receptor family member 5"
"54881","TEX10","testis expressed 10"
"54898","ELOVL2","ELOVL fatty acid elongase 2"
"54934","KANSL2","KAT8 regulatory NSL complex subunit 2"
"5494","PPM1A","protein phosphatase, Mg2+/Mn2+ dependent 1A"
"55032","SLC35A5","solute carrier family 35 member A5"
"55054","ATG16L1","autophagy related 16 like 1"
"55074","OXR1","oxidation resistance 1"
"55103","RALGPS2","Ral GEF with PH domain and SH3 binding motif 2"
"55107","ANO1","anoctamin 1"
"55124","PIWIL2","piwi like RNA-mediated gene silencing 2"
"55201","MAP1S","microtubule associated protein 1S"
"55209","SETD5","SET domain containing 5"
"55280","CWF19L1","CWF19 like cell cycle control factor 1"
"552891","DNAJC25-GNG10","DNAJC25-GNG10 readthrough"
"55351","STK32B","serine/threonine kinase 32B"
"55374","TMCO6","transmembrane and coiled-coil domains 6"
"55449","DHRS4-AS1","DHRS4 antisense RNA 1"
"55504","TNFRSF19","TNF receptor superfamily member 19"
"55506","MACROH2A2","macroH2A.2 histone"
"55510","DDX43","DEAD-box helicase 43"
"55553","SOX6","SRY-box transcription factor 6"
"55567","DNAH3","dynein axonemal heavy chain 3"
"55568","GALNT10","polypeptide N-acetylgalactosaminyltransferase 10"
"55614","KIF16B","kinesin family member 16B"
"55628","ZNF407","zinc finger protein 407"
"55687","TRMU","tRNA mitochondrial 2-thiouridylase"
"55691","FRMD4A","FERM domain containing 4A"
"5570","PKIB","cAMP-dependent protein kinase inhibitor beta"
"55728","N4BP2","NEDD4 binding protein 2"
"55734","ZFP64","ZFP64 zinc finger protein"
"55769","ZNF83","zinc finger protein 83"
"55819","RNF130","ring finger protein 130"
"55974","SLC50A1","solute carrier family 50 member 1"
"5600","MAPK11","mitogen-activated protein kinase 11"
"5608","MAP2K6","mitogen-activated protein kinase kinase 6"
"56140","PCDHA8","protocadherin alpha 8"
"56141","PCDHA7","protocadherin alpha 7"
"56142","PCDHA6","protocadherin alpha 6"
"56143","PCDHA5","protocadherin alpha 5"
"56144","PCDHA4","protocadherin alpha 4"
"56145","PCDHA3","protocadherin alpha 3"
"56146","PCDHA2","protocadherin alpha 2"
"56147","PCDHA1","protocadherin alpha 1"
